기업명,1Q2017,2Q2017,3Q2017,4Q2017,1Q2018,2Q2018,3Q2018,4Q2018,1Q2019,2Q2019,3Q2019,4Q2019,1Q2020,2Q2020,3Q2020,4Q2020,1Q2021,2Q2021,3Q2021,기업 별 합계
넥슨,31730000000.0,36500000000.0,51220000000.0,59100000000.0,56310000000.0,56100000000.0,62790000000.0,68460000000.0,51940000000.0,55000000000.0,37670000000.0,42600000000.0,28360000000.0,43260000000.0,58520000000.0,74010000000.0,31320000000.0,29680000000.0,50780000000.0,925350000000.0
엔씨소프트,12701000000.0,24115000000.0,22043000000.0,24151000000.0,10771000000.0,14973000000.0,16513000000.0,15894000000.0,18987000000.0,24230000000.0,22766000000.0,41291000000.0,39573000000.0,12898000000.0,29723000000.0,44813000000.0,54950000000.0,55582000000.0,53912000000.0,539886000000.0
넷마블,78400000000.0,82400000000.0,101000000000.0,119400000000.0,74700000000.0,78600000000.0,85100000000.0,73400000000.0,62800000000.0,83600000000.0,72300000000.0,73700000000.0,95000000000.0,124900000000.0,85700000000.0,86800000000.0,77600000000.0,100400000000.0,100400000000.0,1656200000000.0
카카오게임즈,24959000000.0,21929000000.0,33460000000.0,36130000000.0,47941000000.0,45311000000.0,36274000000.0,54538000000.0,32947000000.0,38500000000.0,36800000000.0,41526000000.0,29900000000.0,38500000000.0,76300000000.0,87500000000.0,67200000000.0,91100000000.0,148100000000.0,988915000000.0
NHN,2043700000.0,2087900000.0,2069000000.0,2176100000.0,1593400000.0,1422300000.0,1412500000.0,1390900000.0,1210100000.0,1467600000.0,1672000000.0,1891100000.0,1502600000.0,1821900000.0,2071400000.0,2376900000.0,2246900000.0,2098800000.0,1807700000.0,34362800000.0
컴투스,12020000000.0,19007000000.0,13900000000.0,21300000000.0,13300000000.0,187000000.0,179000000.0,21700000000.0,14600000000.0,16400000000.0,16000000000.0,14600000000.0,8200000000.0,21100000000.0,21500000000.0,20700000000.0,18600000000.0,44900000000.0,13300000000.0,311493000000.0
데브시스터즈,1432000000.0,325000000.0,92000000.0,621000000.0,34000000.0,267000000.0,193000000.0,870000000.0,303000000.0,1424000000.0,455000000.0,1918000000.0,1067000000.0,1831000000.0,1288000000.0,3154000000.0,1200000000.0,21000000000.0,18900000000.0,56374000000.0
그라비티,3007770750.0,3007770750.0,3007770750.0,3007770750.0,4136462000.0,4136462000.0,4136462000.0,4136462000.0,2493421750.0,2493421750.0,2493421750.0,2493421750.0,4946807250.0,4946807250.0,4946807250.0,4946807250.0,3646115437.5,3646115437.5,3646115437.5,69276193312.5
펄어비스,1254000000.0,1220000000.0,1455000000.0,5212000000.0,10506000000.0,9195000000.0,9959000000.0,10029000000.0,30251000000.0,15435000000.0,15835000000.0,16760000000.0,9444000000.0,9166000000.0,9228000000.0,16135000000.0,15148000000.0,13022000000.0,11842000000.0,211096000000.0
웹젠,1831000000.0,2528000000.0,970000000.0,1669000000.0,1735000000.0,4739000000.0,4536000000.0,2380000000.0,2922000000.0,471700000.0,1354000000.0,1534000000.0,654000000.0,5731000000.0,7497000000.0,2285000000.0,665000000.0,5355000000.0,4337000000.0,53193700000.0
네오위즈,3140000000.0,3153000000.0,3844000000.0,3742000000.0,4217000000.0,5534000000.0,5873000000.0,8306000000.0,9750000000.0,8502000000.0,10352000000.0,9949000000.0,6564000000.0,9185000000.0,11062000000.0,10185000000.0,5964000000.0,6609000000.0,11031000000.0,136962000000.0
위메이드,9059000000.0,1015000000.0,563000000.0,757000000.0,666000000.0,1830000000.0,6498000000.0,1780000000.0,4790000000.0,1830000000.0,1140000000.0,1224000000.0,1341000000.0,1561000000.0,4107000000.0,14554000000.0,5728000000.0,5020000000.0,5772000000.0,69235000000.0
게임빌,1866000000.0,4056000000.0,1190000000.0,4299000000.0,4643000000.0,1186000000.0,2998000000.0,3615000000.0,2334000000.0,1924000000.0,2091000000.0,2720000000.0,723000000.0,1365000000.0,3572000000.0,1600000000.0,1300000000.0,2300000000.0,1100000000.0,44882000000.0
선데이토즈,380000000.0,256000000.0,411000000.0,2625000000.0,1741000000.0,3980000000.0,1496000000.0,298000000.0,342000000.0,1193000000.0,569000000.0,8433000000.0,3940000000.0,2559000000.0,2491000000.0,865000000.0,1768000000.0,1945000000.0,3609000000.0,38901000000.0
엠게임,43233000.0,927644000.0,74484000.0,73813000.0,40739000.0,80000000.0,62007000.0,111071000.0,111147000.0,59612000.0,38523000.0,131194000.0,18850000.0,49317000.0,36013000.0,26368000.0,43314000.0,38796000.0,50648000.0,2016773000.0
베스파,1977658500.0,1977658500.0,1977658500.0,1977658500.0,9300195250.0,9300195250.0,9300195250.0,9300195250.0,9019984000.0,7257181000.0,13143333000.0,21322548000.0,3537390000.0,4948341000.0,5317439000.0,4984956000.0,4043107000.0,4692425000.0,3059742000.0,126437861000.0
분기별 합계,185844362250.0,204504973250.0,237276913250.0,286241342250.0,241634796250.0,236840957250.0,247320164250.0,276208628250.0,244800652750.0,259787514750.0,234679277750.0,282093263750.0,234771647250.0,283822365250.0,323359659250.0,374936031250.0,291422436437.5,387389136437.5,431647205437.5,5264581327312.5
